ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,combined_score
RCAT,16.58,13.29,24.74,CAUTION,40,1.58,0.49,14.67,13.02,ELEVATED,1.51,0.6,0.828,438.5,98.2,1.0,clean,76.4,CAUTION,-11.7,3,Parabolic,9.96,31.39,92.59,IAU,equity,Equity,8.0,False,False,71.3
EOG,135.31,121.78,11.11,GOOD,60,1.52,-0.9,129.79,4.26,,,,0.871,150.1,64.9,159.0,clean,91.5,HEALTHY,-0.6,2,Sustained Uptrend,3.27,20.07,23.7,XLE,commodity,Commodity,9.0,False,False,71.2
MRNA,54.49,48.14,13.2,GOOD,75,1.52,1.24,54.17,0.59,,,,0.779,378.3,64.4,162.0,clean,74.6,CAUTION,-8.5,3,Parabolic,1.23,29.74,92.95,XLV,equity,Equity,7.0,False,False,71.2
UUP,27.68,27.13,2.0,OPTIMAL,95,1.48,0.9,27.43,0.88,,,,0.908,36.9,56.1,204.0,clean,61.1,CAUTION,-1.7,1,Basing,0.71,3.26,-1.72,DBA,index,Index,10.0,False,False,71.2
UCTT,57.33,55.15,3.95,OPTIMAL,95,1.48,0.9,57.28,0.08,,,,0.001,-8.2,57.6,196.0,clean,58.4,CAUTION,-22.3,3,Parabolic,2.75,5.51,110.37,XLI,equity,Equity,16.0,False,False,70.9
DHT,17.28,16.74,3.24,OPTIMAL,95,1.48,0.9,18.6,-7.12,,,,0.475,236.3,56.0,206.0,stalling,60.0,CAUTION,-15.9,3,Parabolic,-6.8,14.74,38.02,LQD,index,Index,6.0,False,False,70.8
SSRM,29.95,28.26,6.0,OPTIMAL,90,1.5,0.12,30.9,-3.06,,,,0.398,179.6,46.4,221.0,clean,77.0,CAUTION,-10.6,3,Parabolic,-3.96,12.44,39.98,IAU,miner,Miner,5.0,False,False,70.8
GPRE,16.42,14.06,16.8,FAIR,35,1.67,-1.24,15.1,8.73,,,,0.492,178.9,92.1,10.0,clean,86.2,HEALTHY,-0.4,3,Parabolic,5.87,11.47,65.19,XLE,commodity,Commodity,9.0,False,False,70.3
MGM,36.13,35.85,0.78,OPTIMAL,95,1.48,0.9,36.05,0.23,,,,0.056,28.1,35.6,227.0,clean,82.0,HEALTHY,-8.0,2,Sustained Uptrend,-2.69,-3.29,0.67,XLF,index,Index,10.0,False,False,70.3
IMAX,38.91,38.1,2.13,OPTIMAL,95,1.48,0.9,40.62,-4.22,,,,0.439,152.4,54.2,209.0,clean,60.0,CAUTION,-9.8,2,Sustained Uptrend,-3.83,6.63,2.26,XLRE,bond,Bond,4.0,False,False,70.2
SHEL,88.67,80.38,10.32,GOOD,55,1.52,-5.49,84.68,4.71,,,,0.895,147.0,66.9,143.0,clean,91.9,HEALTHY,-0.3,2,Sustained Uptrend,6.91,13.83,22.22,XLE,index,Index,1.0,False,False,70.2
EFXT,21.04,20.04,5.0,OPTIMAL,90,1.5,1.11,22.08,-4.73,,,,0.626,256.0,58.3,192.0,clean,60.0,CAUTION,-11.7,3,Parabolic,-3.57,15.41,37.97,XLI,commodity,Commodity,9.0,False,False,69.9
FLEX,63.79,63.62,0.27,OPTIMAL,95,1.48,0.9,62.81,1.55,,,,0.297,-55.3,40.3,225.0,clean,74.7,CAUTION,-11.7,2,Sustained Uptrend,0.44,-0.78,-6.88,XLK,equity,Equity,16.0,False,False,69.8
LNG,256.77,228.84,12.2,GOOD,60,1.52,-0.9,248.67,3.26,,,,0.848,224.0,65.4,156.0,clean,86.4,HEALTHY,-0.9,2,Sustained Uptrend,2.9,17.58,29.21,XLE,commodity,Commodity,9.0,False,False,69.8
MRVL,89.03,80.92,10.02,GOOD,75,1.52,1.24,84.92,4.84,,,,0.423,170.6,71.6,108.0,clean,60.0,CAUTION,-6.3,1,Basing,17.64,8.56,0.15,VXUS,equity,Equity,16.0,False,False,69.3
OLN,24.56,24.31,1.03,OPTIMAL,95,1.48,0.9,24.38,0.73,,,,0.25,-65.9,34.4,229.0,clean,80.0,HEALTHY,-10.2,3,Parabolic,-0.24,-5.47,20.63,XLB,sector,Sector,34.0,False,False,69.3
COHR,246.69,241.58,2.11,OPTIMAL,95,1.48,0.9,262.0,-5.84,,,,0.385,220.9,52.0,213.0,clean,59.1,CAUTION,-17.8,3,Parabolic,-2.83,8.02,28.0,XLK,equity,Equity,16.0,False,False,69.2
ATI,148.8,147.72,0.73,OPTIMAL,95,1.48,0.9,157.75,-5.68,,,,0.272,110.6,52.5,212.0,stalling,57.1,CAUTION,-11.5,3,Parabolic,-3.49,8.58,49.67,XLI,equity,Equity,11.0,False,False,68.8
ANAB,63.24,54.6,15.84,FAIR,55,1.67,1.01,58.56,8.0,,,,0.552,175.9,69.3,126.0,clean,83.2,HEALTHY,-5.1,3,Parabolic,10.41,25.89,44.39,VGK,equity,Equity,7.0,False,False,68.5
VIAV,30.14,28.28,6.57,OPTIMAL,90,1.5,1.11,30.97,-2.68,,,,0.44,229.2,56.3,201.0,clean,57.4,CAUTION,-15.4,3,Parabolic,-2.77,10.28,59.13,XLI,equity,Equity,16.0,False,False,68.4
