ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
ASHR,ASHR,2.8,10,bullish,0.85,-1.49,-3.79,-4.38,0.11,-0.86,-1.53,-1.51,-0.8,,,41.0,,,41.0,,,41.0
AVDE,AVDE,4.0,10,bullish,3.46,0.14,-2.39,-7.72,2.66,-1.3,-2.0,-1.05,-0.12,,,32.0,,,32.0,,,32.0
AVDV,AVDV,4.2,10,bullish,4.01,-0.12,-3.35,-8.81,5.81,-1.02,-2.0,-1.32,-0.29,,,32.0,,,32.0,,,32.0
AVEM,AVEM,3.7,10,bullish,3.32,0.05,-1.84,-8.0,6.97,-0.28,-2.0,-0.86,-0.2,,,32.0,,,32.0,,,32.0
AVES,AVES,3.6,10,bullish,3.18,0.33,-1.41,-8.35,4.64,-0.52,-2.0,-0.72,-0.05,,,30.0,,,30.0,,,30.0
AVIV,AVIV,4.4,10,bullish,3.39,0.24,-2.19,-7.31,4.1,-1.17,-2.0,-1.01,-0.1,,,30.0,,,30.0,,,30.0
AVNM,AVNM,3.4,10,bullish,3.38,0.11,-2.37,-7.88,4.22,-0.99,-2.0,-1.08,-0.16,,,9.0,,,9.0,,,9.0
BAI,BAI,0.0,10,,5.26,2.95,2.32,-0.06,4.57,-0.19,-0.4,0.12,0.49,,,,,,,,,
BAM,BAM,4.4,10,bullish,0.37,-2.03,-3.6,-11.14,-19.17,-1.48,-1.2,-0.56,-0.43,,,9.0,,,9.0,,,9.0
BATT,BATT,5.3,10,bullish,7.79,2.78,-3.52,-8.81,4.96,-0.69,-1.8,-1.0,0.39,,,35.0,,,35.0,,,35.0
BBCA,BBCA,4.2,10,bullish,1.99,-0.88,-3.81,-4.89,-0.63,-1.88,-2.0,-1.95,-0.7,,,35.0,,,35.0,,,35.0
BBEU,BBEU,3.9,10,bullish,2.78,-0.75,-3.38,-9.13,-2.26,-2.0,-2.0,-1.26,-0.41,,,35.0,,,35.0,,,35.0
BBIN,BBIN,4.0,10,bullish,2.8,-0.51,-2.91,-8.31,-1.18,-1.96,-2.0,-1.1,-0.32,,,32.0,,,32.0,,,32.0
BBJP,BBJP,3.4,10,bullish,4.35,0.66,-1.17,-7.22,-0.03,-1.3,-1.85,-0.47,0.1,,,35.0,,,35.0,,,35.0
BEN,BEN,0.0,10,bearish,1.79,0.89,-4.37,-11.95,-2.89,-0.7,-1.63,-0.92,0.12,,,100.0,,,100.0,,,100.0
BIL,BIL,0.0,10,bearish,0.03,0.06,0.15,0.02,0.33,2.0,0.26,0.92,0.46,,,71.0,,,71.0,,,71.0
BINV,BINV,3.0,10,bullish,2.87,-0.09,-2.81,-8.96,1.33,-1.76,-2.0,-1.14,-0.19,,,3.0,,,3.0,,,3.0
BITO,BITO,0.0,10,bearish,0.78,-0.36,0.15,9.49,-25.27,-0.58,1.24,0.29,0.13,,,24.0,,,24.0,,,24.0
BITQ,BITQ,0.0,10,bearish,2.06,-0.72,1.27,6.07,-4.46,-0.47,0.09,-0.1,-0.24,,,30.0,,,30.0,,,30.0
BK,BK,3.2,10,bullish,2.32,2.57,0.42,0.91,0.3,-1.11,-0.34,-0.26,0.64,,,100.0,,,100.0,,,100.0
