ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
UVXY,48.4,41.0,18.05,FAIR,55,1.67,1.01,46.44,4.23,,,,0.61,350.5,0.0,243.0,clean,40.0,WARNING,-16.5,0,Deep Decline,-10.52,33.3,12.19,,equity,Equity,12.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -9.3, 'median_ttg': 4.0, 'prob_good': 12.4, 'prob_bad': 76.6}",31.2
NIO,5.84,4.99,16.97,FAIR,25,1.67,-10.6,5.12,14.17,ELEVATED,1.51,0.6,0.163,106.1,0.0,,,71.2,CAUTION,-0.7,0,Deep Decline,,,,,index,Index,6.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -10.35, 'median_ttg': 17.0, 'prob_good': 5.9, 'prob_bad': 76.5}",30.1
LYSCF,14.5,12.01,20.78,CAUTION,10,1.58,-10.6,13.56,6.93,,,,0.778,364.2,0.0,,,84.2,HEALTHY,-3.3,3,Parabolic,,,,,index,Index,31.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -9.3, 'median_ttg': 4.0, 'prob_good': 12.4, 'prob_bad': 76.6}",28.8
DSGN,10.23,10.24,-0.07,BELOW SMA,15,,,10.14,0.97,,,,0.013,-11.5,0.0,,,76.5,CAUTION,-8.1,3,Parabolic,,,,,equity,Equity,7.0,False,False,,28.2
EDIT,2.62,2.03,28.68,WARNING,25,1.66,2.33,2.31,13.42,ELEVATED,1.51,0.6,0.785,530.1,0.0,,,63.7,CAUTION,-5.6,0,Deep Decline,,,,,equity,Equity,7.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -16.2, 'median_ttg': 3.0, 'prob_good': 14.6, 'prob_bad': 75.6}",27.9
STRL,403.74,414.69,-2.64,BELOW SMA,15,,,411.44,-1.87,,,,0.296,-88.6,0.0,243.0,clean,74.5,CAUTION,-15.4,2,Sustained Uptrend,2.18,-6.95,21.75,XLK,equity,Equity,11.0,False,False,,27.6
TIP,110.91,111.12,-0.19,BELOW SMA,15,,,111.27,-0.33,,,,0.033,-1.6,0.0,243.0,clean,73.1,CAUTION,-1.0,1,Basing,-0.47,0.09,0.41,TLT,bond,Bond,4.0,False,False,,27.2
CAH,221.5,222.17,-0.31,BELOW SMA,15,,,220.85,0.29,,,,0.088,-24.3,0.0,243.0,clean,71.9,CAUTION,-5.2,2,Sustained Uptrend,1.71,-1.23,11.75,,equity,Equity,7.0,False,False,,26.8
HAL,34.49,34.64,-0.44,BELOW SMA,15,,,34.88,-1.11,,,,0.071,21.4,0.0,243.0,clean,72.0,CAUTION,-6.9,3,Parabolic,1.29,-1.54,18.77,XLE,commodity,Commodity,9.0,False,False,,26.8
TJX,155.92,156.63,-0.45,BELOW SMA,15,,,158.89,-1.87,,,,0.148,21.2,0.0,243.0,clean,71.5,CAUTION,-4.2,2,Sustained Uptrend,-2.14,3.43,0.16,,equity,Equity,37.0,False,False,,26.7
