symbol,current_price,return_1m,return_3m,return_12m,sortino_1m,sortino_3m,current_slope,slope_trend,slope_acceleration,status,is_accelerating,is_decelerating,trajectory,volatility_ratio,has_divergence,divergence_type,divergence_strength,days_to_peak,days_to_nadir,signal,confidence
LUNMF,31.08,22.943037974683534,65.93699946609716,289.4736842105263,5.820707264266956,5.870907607526753,0.20241585418337057,0.013241724695858027,0.11034930387471356,Accelerating,True,False,V-shaped,0.8986292386299909,False,,0.0,30.0,,STRONG_BUY,90
LRCX,229.05,-1.8889745566692318,46.82692307692309,198.47537138389367,-0.5328420580447836,5.681640911301943,-0.09763863778972762,0.05157407412549075,0.033547684097069354,Accelerating,True,False,V-shaped,1.250677829532318,False,,0.0,30.0,,STRONG_BUY,90
LYFT,13.595,-19.41315945465323,-35.35425582501189,1.911544227886064,-3.1169683637937413,-2.8777945029515193,-0.4229875895091511,-0.31344778306728166,0.02185841248702189,Stable,False,False,V-shaped,1.6126106772028572,True,bullish,0.03309959849855552,,30.0,SELL,85
LVS,55.7,5.632467286174858,-18.280516431924877,24.580630731380015,3.877247282735719,-1.8635783340948926,-0.41827436963543463,-0.28803869559779327,0.007082416077524311,Stable,False,False,V-shaped,0.4328394475251768,False,,0.0,,30.0,SELL,85
MA,515.3843,-4.344122942148132,-6.383975441846934,-10.571688848015803,-2.0480374255834444,-1.3988703198523553,-0.08082239777117038,-0.026896675200913184,-0.011945165614668091,Stable,False,False,V-shaped,1.4352016720641942,False,,0.0,,66.0,SELL,85
MAMA,17.1015,13.254966887417229,51.07332155477033,179.43627450980392,7.9970417626298484,7.463646875417112,0.16913202452794868,0.17886765488788586,0.012244655112248216,Stable,False,False,V-shaped,0.7418614715222115,False,,0.0,30.0,,HOLD,50
LYB,58.2,18.775510204081634,18.79975505205145,-24.248340491995314,8.200127183732098,3.0920527296600433,0.1822056327225766,0.3279162486514556,0.0036898315466849115,Stable,False,False,V-shaped,1.17922129709498,False,,0.0,30.0,,HOLD,50
LYSCF,14.08,38.31041257367387,45.30443756449949,242.57907542579073,15.19967102241866,6.014649122135928,0.8781585433189032,0.3783809518533608,0.17383790385680997,Accelerating,True,False,V-shaped,1.0620697022639212,False,,0.0,30.0,,STRONG_BUY,90
MAZE,44.5,2.1110601193207845,17.88079470198676,263.8593622240392,0.6854926297300447,2.3991561842944202,-0.2767798277854712,-0.22484905943415118,0.014777397537955301,Stable,False,False,V-shaped,1.284725811495542,False,,0.0,30.0,,HOLD,50
LXP,49.195,-0.7164480322906064,1.4329896907216533,9.810267857142874,-0.2673473707919097,0.2675716228071802,-0.09845973927256421,-0.0669985787345769,-0.028389565614910052,Stable,False,False,V-shaped,1.4552320929280866,False,,0.0,,60.0,SELL,85
MARUY,372.55,12.641349700671212,41.21370631491168,137.61081701639137,7.570228319448951,9.726223526590134,0.13464140685156747,0.26613221762384187,0.03727541166579174,Accelerating,True,False,V-shaped,1.2279137461789358,False,,0.0,30.0,,STRONG_BUY,90
LUV,48.13,1.2836700336700257,38.26486641769606,54.958145524790744,0.6155860002422697,7.708754924899891,-0.02693742525404557,0.20083651694330973,-0.02619841108052304,Stable,False,False,V-shaped,1.3219286867390714,False,,0.0,47.0,,HOLD,50
M,18.755,-6.318681318681318,-16.122540250447226,30.696864111498257,-2.8730164043528528,-2.613717385374571,-0.4660453530754391,-0.20121746231239823,0.048392892616979,Accelerating,True,False,V-shaped,1.0907668593593036,False,,0.0,,47.0,SELL,85
MARA,9.4399,-0.6326315789473735,-20.068585944115156,-32.18462643678161,-0.09766843408831616,-1.498608055908771,0.3802013268645306,-0.013884344729078513,0.07086074134285768,Accelerating,True,False,V-shaped,1.4957854502448626,False,,0.0,,180.0,SELL,85
MAG,24.47,12.869003690036894,15.478999528079274,101.0682004930156,12.82497199760829,4.136806916913173,-0.08977434620965064,-0.05244654597460084,-0.0720399326087338,Decelerating,False,True,V-shaped,0.810861323095886,False,,0.0,118.0,,HOLD,50
MBIN,42.48,2.4602026049203918,29.947996329152637,4.3222003929273,1.2346148319331114,5.2230213136625165,0.082972596854537,0.2767615036584411,0.001584340779819135,Stable,False,False,V-shaped,1.051771148338332,False,,0.0,32.0,,HOLD,50
MDB,327.265,-11.866803113133873,-1.5359388633149895,22.374079198294883,-3.045370596598317,-0.14734512689859822,-0.45606921101074205,-0.3058684370701748,-0.056292081594222956,Decelerating,False,True,V-shaped,1.0936380525618847,False,,0.0,,30.0,SELL,85
MCHI,58.365,-6.466346153846148,-6.165594855305468,8.930571108622631,-5.367666883246538,-2.105187998431567,-0.09585470263640711,-0.011111721473365421,0.01200535652780784,Stable,False,False,V-shaped,1.0359005247368944,False,,0.0,,61.0,SELL,85
MAR,331.1,5.011100539169044,8.632172971554187,18.060260295952936,4.043478215967493,2.363876077217303,-0.07878518418755853,0.026183988775167373,0.016078966559246795,Stable,False,False,V-shaped,1.0589743997529257,False,,0.0,33.0,,HOLD,50
MDLZ,61.04,4.395416452881817,6.027444849748131,-4.966526545228089,2.237127093506473,1.567759800526494,0.20461185959954928,0.20434888813519736,0.020377746780696725,Stable,False,False,V-shaped,1.5135768294203487,False,,0.0,30.0,,HOLD,50
MELI,1732.558,-19.332988793131545,-16.373456641149165,-18.347589626131665,-6.379448972302996,-2.293910317821543,-0.18015924961290283,0.028767823281396716,-0.0361514577966276,Decelerating,False,True,V-shaped,1.2932394818291033,False,,0.0,,42.0,SELL,85
MCHP,74.15,-2.3314014752370826,38.391190742814494,25.976894325518195,-1.5921279378907458,10.018797022545337,0.009008801204228938,0.20222574106670296,-0.0063730469460960655,Stable,False,False,V-shaped,0.8436899271864902,False,,0.0,55.0,,HOLD,50
META,651.2088,-9.112519190509417,0.5029400416698637,-2.5428314875785785,-6.412126710495042,0.145800443154961,0.06551549529580425,0.12672634193756713,-0.06106397135948617,Decelerating,False,True,V-shaped,1.2094772099269564,False,,0.0,7.0,,SELL_SOON,70
